,name,url,icon
35,スネーク,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/snake.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1137557866.jpg
36,アイク,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ike.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1138142302.jpg
37,ポケモントレーナー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/pokemon_trainer.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1139276578.jpg
38,ディディーコング,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/diddy_kong.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1143172947.jpg
39,リュカ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/lucas.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_114354184.jpg
40,ソニック,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/sonic.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1144209707.jpg
41,デデデ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/dedede.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_114441412.jpg
42,ピクミン&オリマー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/pikmin_and_olimar.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1145395532.jpg
43,ルカリオ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/lucario.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1146162941.jpg
44,ロボット,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/robot.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1147076644.jpg
45,トゥーンリンク,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/toon_link.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1147433636.jpg
46,ウルフ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/wolf.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1148214358.jpg
47,むらびと,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/murabito.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1148568689.jpg
48,ロックマン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/rockman.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1149247117.jpg
49,Wii Fit トレーナー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/wii_fit_trainer.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1149516112.jpg
50,ロゼッタ&チコ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/rosetta_and_chiko.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1150381283.jpg
51,リトル・マック,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/little_mac.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1151038174.jpg
