,name,url,small_url
36,アイク,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ike.png,https://img.game8.jp/2399775/1b08b1942bfade1bd9778489a4de99fc.jpeg/show
37,ポケモントレーナー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/pokemon_trainer.png,https://img.game8.jp/2399831/bf2f2f2134925f66eff58599b38b2b4e.jpeg/show
38,ディディーコング,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/diddy_kong.png,https://img.game8.jp/2399767/4a7ab2fbd489a21c8f875233258e85f1.jpeg/show
39,リュカ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/lucas.png,https://img.game8.jp/2399832/ad000ee04d3f9e41d573cfec1519d089.jpeg/show
40,ソニック,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/sonic.png,https://img.game8.jp/2399760/b02521934e54dc23eeaafcbacfce37ab.jpeg/show
41,デデデ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/dedede.png,https://img.game8.jp/2399810/87514249e82c2cd69a46651e709d491d.jpeg/show
42,ピクミン&オリマー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/pikmin_and_olimar.png,https://img.game8.jp/2399802/99916af599cfc33360e13e8c9e01ae5b.jpeg/show
43,ルカリオ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/lucario.png,https://img.game8.jp/2399803/6a6064214a18851fe80d187d85804d31.jpeg/show
44,ロボット,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/robot.png,https://img.game8.jp/2399804/824e1837ae45ce32b687cf09d385e4ac.jpeg/show
45,トゥーンリンク,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/toon_link.png,https://img.game8.jp/2399769/c94987b6f3b399055de45e18b028b69d.jpeg/show
46,ウルフ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/wolf.png,https://img.game8.jp/2399764/ef23d59fd8fc6cde94a06ab03ed5dd67.jpeg/show
47,むらびと,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/murabito.png,https://img.game8.jp/2399778/4f43d09f1c0999b0fd0e952489a28ea1.jpeg/show
48,ロックマン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/rockman.png,https://img.game8.jp/2399782/c332d09e92c11646294868068ccf494c.jpeg/show
49,Wii Fit トレーナー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/wii_fit_trainer.png,https://img.game8.jp/2399784/032c9d3200865e8780db4282720010a5.jpeg/show
50,ロゼッタ&チコ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/rosetta_and_chiko.png,https://img.game8.jp/2399833/c927f654dec1e8ee494449bc6b0865a3.jpeg/show
51,リトル・マック,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/little_mac.png,https://img.game8.jp/2399771/6e6cfae7dcf976ae32332feda465b792.jpeg/show
52,ゲッコウガ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/gekkouga.png,https://img.game8.jp/2399799/9e5b4b13aa70a86c2340c79952c8fb4a.jpeg/show
53,Miiファイター,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/mii_fighter.png,https://img.game8.jp/2399772/c802b9a9a46d9eef8cb817396e78da95.jpeg/show
54,パルテナ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/palutena.png,https://img.game8.jp/2399824/b079973798f5df7e2200bad357184ec9.jpeg/show
55,パックマン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/pac_man.png,https://img.game8.jp/2399781/7e882f706e457125c33416dd7612a6ad.jpeg/show
56,ルフレ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/reflet.png,https://img.game8.jp/2399830/fd39329aa235821c86b6d71df64206f3.jpeg/show
57,シュルク,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/shulk.png,https://img.game8.jp/2399820/29f8b976dff49686202a8ddb8ae2d247.jpeg/show
58,クッパ Jr.,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/koopa_jr.png,https://img.game8.jp/2399821/5b2bd0d9628c3cb9d815717f28000477.jpeg/show
59,ダックハント,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/duck_hunt.png,https://img.game8.jp/2399801/c972463302ff4a43a5ec359c62918be3.jpeg/show
60,リュウ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ryu.png,https://img.game8.jp/2399822/ea1237d07f16172d11289266036c4b33.jpeg/show
61,ケン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ken.png,https://img.game8.jp/2399806/706af888d3150d21ce0397e3bb8f5d7a.jpeg/show
62,クラウド,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/cloud.png,https://img.game8.jp/2399780/5ff3a715d4899d0ddefc9b061c901c7b.jpeg/show
63,カムイ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/kamui.png,https://img.game8.jp/2399761/ce7af1b5b751c99ce87a9d90016dd593.jpeg/show
64,ベヨネッタ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/bayonetta.png,https://img.game8.jp/2399816/622577c3e72596dc9edf40367bed322b.jpeg/show
65,インクリング,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/inkling.png,https://img.game8.jp/2399777/aab4084e97d599b5ba2c909f020c1d2c.jpeg/show
